"Identität";"Nachname";"Vorname";"TF Name";"TF Beschreibung";"AF Anzeigename";"AF Beschreibung";"Höchste Kritikalität TF in AF";"TF Eigentümer Org";"TF Applikation";"TF Kritikalitätskennzeichen";"GF Name";"GF Beschreibung";"Direct Connect";"AF Zugewiesen an Account-Name";"AF Gültig ab";"AF Gültig bis";"AF Zuweisungsdatum"
"xv00002_T";"ExistenterUser";"Tester 2";"8 gel�scht CN=A_SP_I_MA_MA_ID,OU=Sicherheitsgruppen,OU=Gruppen,DC=RUV,DC=DE";"Intranet MA-Info-ID lesen";"rvm_00889_143_id_ma";"MA-Gruppen-AF: Praktikanten";"K";"00032 Sharepoint";"AD - RUVDE";"K";"rvg_00032_sp_i_ma_id";"Intranet lesen Innendienst Basis";"Nein";;;;"02.07.2018"
"xv00003_T";"L�schUser";"Tester 3";"CN=A_IPC_P_IB,OU=Sicherheitsgruppen,OU=Gruppen,DC=RUV,DC=DE";"IPC Profil Incident-Bearbeiter";"rvm_00889_143_id_ma";"MA-Gruppen-AF: Praktikanten";"K";"00161 HPSM";"AD - RUVDE";"U";"rvg_00161_ipc_p_basis";"IPC Profil Basis";"Nein";"xv00003_T";;;"02.07.2018"
"xv00003_T";"L�schUser";"Tester 3";"CN=A_IPC_P_CB,OU=Sicherheitsgruppen,OU=Gruppen,DC=RUV,DC=DE";"IPC Profil Change-Bearbeiter";"rvm_00889_143_id_ma";"MA-Gruppen-AF: Praktikanten";"K";"00161 HPSM";"AD - RUVDE";"U";"rvg_00161_ipc_p_basis";"IPC Profil Basis";"Nein";"xv00003_T";;;"02.07.2018"
"xv00003_T";"L�schUser";"Tester 3";"CN=A_ARIS_CON_VIEWER,OU=Sicherheitsgruppen,OU=Gruppen,DC=RUV,DC=DE";"Leserecht im Portal ARIS-Connect auf R+V-Prozesse";"rvm_00889_143_id_ma";"MA-Gruppen-AF: Praktikanten";"K";"ZI-KS-BC";"AD - RUVDE";"K";"rvg_00451_aris_con_viewer";"Gruppe zur Steuerung d. Rechte u. Rollen in ARIS 9 u. ARIS Connect";"Nein";"xv00003_T";;;"02.07.2018"
"xv00003_T";"L�schUser";"Tester 3";"CN=A_INTERNET,OU=Sicherheitsgruppen,OU=Gruppen,DC=RUV,DC=DE";"AWND Internet Benutzer-Gruppe";"rvm_00889_143_id_ma";"MA-Gruppen-AF: Praktikanten";"K";"00687_internet";"AD - RUVDE";"U";"rvg_00687_internet";"Internetzugriff standard (ZI-SE-AS)";"Nein";"xv00003_T";;;"02.07.2018"
"xv00003_T";"L�schUser";"Tester 3";"CN=A_00808_PP_MA,OU=Sicherheitsgruppen,OU=Gruppen,DC=RUV,DC=DE";"SAP-Portal - wird �ber einen Automatismus an alle Angestellten Mitarbeiter vergeben";"rvm_00889_143_id_ma";"MA-Gruppen-AF: Praktikanten";"K";"ZH-PK-PI";"AD - RUVDE";"k";"rvg_00808_pp_ma";"SAP Portal";"Nein";"xv00003_T";;;"02.07.2018"
"xv00003_T";"L�schUser";"Tester 3";;;"rvo_00019_org_basis";"ZI-AI ORG-Basis AF";"K";;;;"rvg_00019_basis";"ZI-AI: Anwendung-Infrastruktur";"Nein";"xv00003_T";;;"02.07.2018"
"xv00003_T";"L�schUser";"Tester 3";"CN=A_SP_O_MA00001090,OU=Sicherheitsgruppen,OU=Gruppen,DC=RUV,DC=DE";;"rvo_00019_org_basis";"ZI-AI ORG-Basis AF";"K";"ZI-AI";"AD - RUVDE";"K";"rvg_00019_sp_o_ma00001090";"Lese- und Schreibzugriff RuV Mitarbeiter SharePoint AI Raum";"Nein";"xv00003_T";;;"02.07.2018"
"xv00003_T";"L�schUser";"Tester 3";"CN=W_00407_DA_ZIAI,OU=Sicherheitsgruppen,OU=Gruppen,DC=RUV,DC=DE";"PGLW Dataus LW Schreibrechte f�r VV-KR und Bereich ZI-AI";"rvo_00019_org_basis";"ZI-AI ORG-Basis AF";"K";"VV-KR";"AD - RUVDE";"K";"rvg_00407_da_ziai";"VV-KR: Datenaustauschordner f�r ZIAI";"Nein";"xv00003_T";;;"02.07.2018"
"xv00003_T";"L�schUser";"Tester 3";"BCPTM001_1";"TECH CHECKPOINT-DB-TRANSAKTION: INFO";"rvo_00019_org_basis";"ZI-AI ORG-Basis AF";"K";"ZI-AI-ST-DS";"CICS - P";"U";"rvg_01217_cptm001_1";"CPTM001-VIP=1 CHECKPOINT-DB-PFLEGE-TRANSAKTION:_AUSKUNFT____BRAUNE";"Nein";;;;"02.07.2018"
"xv00003_T";"L�schUser";"Tester 3";"BCPTM001_1";"PFLEGE";"rvo_00019_org_basis";"ZI-AI ORG-Basis AF";"K";"ZI-AI-ST-DS";"CICS - T";;"rvg_01218_t_cptm001_1";"CPTM001-VIP=1 PFLEGE";"Nein";;;;"02.07.2018"
